Part_id,Block_no,Corr,Stimulus Time
100M32,1,0.8125,18.0
100M32,2,0.8958333333333334,18.0
100M32,3,0.8958333333333334,18.0
100M32,4,0.9166666666666666,18.0
100M32,5,0.9375,17.0
100M32,6,0.9375,16.0
100M32,7,0.8541666666666666,15.0
100M32,8,0.9375,15.0
100M32,9,0.8958333333333334,15.0
100M32,10,0.8541666666666666,15.0
100M32,11,0.9375,15.0
101M20,1,0.7916666666666666,18.0
101M20,2,0.7916666666666666,18.0
101M20,3,0.7708333333333334,18.0
101M20,4,0.8541666666666666,18.0
101M20,5,0.7708333333333334,18.0
101M20,6,0.6666666666666666,18.0
101M20,7,0.8125,18.0
101M20,8,0.9166666666666666,18.0
101M20,9,0.7291666666666666,17.0
101M20,10,0.7083333333333334,17.0
101M20,11,0.7291666666666666,17.0
102M19,1,0.4583333333333333,18.0
102M19,2,0.5625,19.0
102M19,3,0.6875,20.0
102M19,4,0.6666666666666666,20.0
102M19,5,0.625,20.0
102M19,6,0.5416666666666666,20.0
102M19,7,0.6666666666666666,21.0
102M19,8,0.5208333333333334,21.0
102M19,9,0.5833333333333334,21.0
102M19,10,0.6041666666666666,21.0
102M19,11,0.3958333333333333,21.0
103K19,1,0.7916666666666666,18.0
103K19,2,0.7083333333333334,18.0
103K19,3,0.75,18.0
103K19,4,0.8125,18.0
103K19,5,0.7291666666666666,18.0
103K19,6,0.9375,18.0
103K19,7,0.8541666666666666,17.0
103K19,8,0.875,17.0
103K19,9,0.875,17.0
103K19,10,0.8333333333333334,17.0
103K19,11,0.8333333333333334,17.0
104K22,1,0.7708333333333334,18.0
104K22,2,0.875,18.0
104K22,3,0.8958333333333334,18.0
104K22,4,0.8541666666666666,18.0
104K22,5,0.7916666666666666,18.0
104K22,6,0.8333333333333334,18.0
104K22,7,0.8958333333333334,18.0
104K22,8,0.875,18.0
104K22,9,0.8125,18.0
104K22,10,0.9583333333333334,18.0
104K22,11,0.9166666666666666,17.0
105K20,1,0.875,18.0
105K20,2,0.875,18.0
105K20,3,0.7708333333333334,18.0
105K20,4,0.6666666666666666,18.0
105K20,5,0.9375,18.0
105K20,6,0.8958333333333334,17.0
105K20,7,0.75,17.0
105K20,8,0.75,17.0
105K20,9,0.8125,17.0
105K20,10,0.7083333333333334,17.0
105K20,11,0.5416666666666666,17.0
106M23,1,0.7916666666666666,18.0
106M23,2,0.8333333333333334,18.0
106M23,3,0.7916666666666666,18.0
106M23,4,0.8333333333333334,18.0
106M23,5,0.7291666666666666,18.0
106M23,6,0.875,18.0
106M23,7,0.8333333333333334,18.0
106M23,8,0.8541666666666666,18.0
106M23,9,0.875,18.0
106M23,10,0.9166666666666666,18.0
106M23,11,0.9583333333333334,17.0
107K20,1,0.9791666666666666,18.0
107K20,2,0.8541666666666666,17.0
107K20,3,0.8125,17.0
107K20,4,0.8333333333333334,17.0
107K20,5,0.8125,17.0
107K20,6,0.9375,17.0
107K20,7,0.8958333333333334,16.0
107K20,8,0.9166666666666666,16.0
107K20,9,0.9375,15.0
107K20,10,0.9375,15.0
107K20,11,0.9791666666666666,15.0
108K22,1,0.7916666666666666,18.0
108K22,2,0.7708333333333334,18.0
108K22,3,0.8333333333333334,18.0
108K22,4,0.8333333333333334,18.0
108K22,5,0.7083333333333334,18.0
108K22,6,0.7083333333333334,18.0
108K22,7,0.7291666666666666,18.0
108K22,8,0.5625,18.0
108K22,9,0.8541666666666666,19.0
108K22,10,0.8958333333333334,19.0
108K22,11,0.875,19.0
109K29,1,0.6041666666666666,18.0
109K29,2,0.5625,18.0
109K29,3,0.5833333333333334,19.0
109K29,4,0.6458333333333334,20.0
109K29,5,0.5416666666666666,20.0
109K29,6,0.7291666666666666,21.0
109K29,7,0.6458333333333334,21.0
109K29,8,0.5416666666666666,21.0
109K29,9,0.7083333333333334,21.0
109K29,10,0.7291666666666666,21.0
109K29,11,0.5833333333333334,21.0
10K20,1,0.8125,18.0
10K20,2,0.9166666666666666,18.0
10K20,3,0.8541666666666666,17.0
10K20,4,0.75,17.0
10K20,5,0.7916666666666666,17.0
10K20,6,0.8541666666666666,17.0
10K20,7,0.8958333333333334,17.0
10K20,8,0.8541666666666666,17.0
10K20,9,0.9791666666666666,17.0
10K20,10,0.9583333333333334,16.0
10K20,11,0.7916666666666666,15.0
110M23,1,0.6458333333333334,18.0
110M23,2,0.7916666666666666,18.0
110M23,3,0.7083333333333334,18.0
110M23,4,0.7708333333333334,18.0
110M23,5,0.8333333333333334,18.0
110M23,6,0.9375,18.0
110M23,7,0.7916666666666666,17.0
110M23,8,0.7708333333333334,17.0
110M23,9,0.8333333333333334,17.0
110M23,10,0.7083333333333334,17.0
110M23,11,0.8541666666666666,17.0
111K20,1,0.8958333333333334,18.0
111K20,2,0.6666666666666666,18.0
111K20,3,0.7083333333333334,18.0
111K20,4,0.7291666666666666,18.0
111K20,5,0.7916666666666666,18.0
111K20,6,0.7916666666666666,18.0
111K20,7,0.7083333333333334,18.0
111K20,8,0.8333333333333334,18.0
111K20,9,0.9166666666666666,18.0
111K20,10,0.75,17.0
111K20,11,0.6666666666666666,17.0
112M20,1,0.875,18.0
112M20,2,0.7916666666666666,18.0
112M20,3,0.9375,18.0
112M20,4,0.8125,17.0
112M20,5,0.8333333333333334,17.0
112M20,6,0.875,17.0
112M20,7,0.8125,17.0
112M20,8,0.9583333333333334,17.0
112M20,9,0.875,16.0
112M20,10,0.9166666666666666,16.0
112M20,11,0.9375,15.0
113K22,1,0.8125,18.0
113K22,2,0.6666666666666666,18.0
113K22,3,0.5833333333333334,18.0
113K22,4,0.5,19.0
113K22,5,0.7291666666666666,20.0
113K22,6,0.6041666666666666,20.0
113K22,7,0.6875,20.0
113K22,8,0.625,20.0
113K22,9,0.7291666666666666,20.0
113K22,10,0.7708333333333334,20.0
113K22,11,0.8125,20.0
114K23,1,0.6875,18.0
114K23,2,0.5208333333333334,18.0
114K23,3,0.7291666666666666,19.0
114K23,4,0.4583333333333333,19.0
114K23,5,0.5416666666666666,20.0
114K23,6,0.4166666666666667,21.0
114K23,7,0.4583333333333333,21.0
114K23,8,0.5833333333333334,21.0
114K23,9,0.7083333333333334,21.0
114K23,10,0.8333333333333334,21.0
114K23,11,0.7916666666666666,21.0
115K22,1,0.7916666666666666,18.0
115K22,2,0.625,18.0
